INFO  - 2016-06-14 17:08:50.193; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/mysite/solr-4.10.4/contrib/extraction/lib/jempbox-1.8.4.jar' to classloader
INFO  - 2016-06-14 17:08:50.194; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/mysite/solr-4.10.4/contrib/extraction/lib/poi-3.10.1.jar' to classloader
INFO  - 2016-06-14 17:08:50.195; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/mysite/solr-4.10.4/contrib/extraction/lib/boilerpipe-1.1.0.jar' to classloader
INFO  - 2016-06-14 17:08:50.202; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/mysite/solr-4.10.4/contrib/extraction/lib/xmpcore-5.1.2.jar' to classloader
INFO  - 2016-06-14 17:08:50.203; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/mysite/solr-4.10.4/contrib/extraction/lib/poi-scratchpad-3.10.1.jar' to classloader
INFO  - 2016-06-14 17:08:50.208; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/mysite/solr-4.10.4/contrib/extraction/lib/xercesImpl-2.9.1.jar' to classloader
INFO  - 2016-06-14 17:08:50.208; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/mysite/solr-4.10.4/contrib/extraction/lib/jhighlight-1.0.jar' to classloader
INFO  - 2016-06-14 17:08:50.208; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/mysite/solr-4.10.4/contrib/extraction/lib/xz-1.4.jar' to classloader
INFO  - 2016-06-14 17:08:50.209; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/mysite/solr-4.10.4/contrib/extraction/lib/pdfbox-1.8.4.jar' to classloader
INFO  - 2016-06-14 17:08:50.209; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/mysite/solr-4.10.4/contrib/extraction/lib/apache-mime4j-dom-0.7.2.jar' to classloader
INFO  - 2016-06-14 17:08:50.210; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/mysite/solr-4.10.4/contrib/extraction/lib/xmlbeans-2.6.0.jar' to classloader
INFO  - 2016-06-14 17:08:50.215; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/mysite/solr-4.10.4/contrib/extraction/lib/juniversalchardet-1.0.3.jar' to classloader
INFO  - 2016-06-14 17:08:50.215; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/mysite/solr-4.10.4/contrib/extraction/lib/poi-ooxml-schemas-3.10.1.jar' to classloader
INFO  - 2016-06-14 17:08:50.217; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/mysite/solr-4.10.4/contrib/extraction/lib/tagsoup-1.2.1.jar' to classloader
INFO  - 2016-06-14 17:08:50.218; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/mysite/solr-4.10.4/contrib/extraction/lib/aspectjrt-1.6.11.jar' to classloader
INFO  - 2016-06-14 17:08:50.218; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/mysite/solr-4.10.4/contrib/extraction/lib/vorbis-java-core-0.1.jar' to classloader
INFO  - 2016-06-14 17:08:50.228; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/mysite/solr-4.10.4/contrib/extraction/lib/tika-core-1.5.jar' to classloader
INFO  - 2016-06-14 17:08:50.231; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/mysite/solr-4.10.4/contrib/extraction/lib/tika-xmp-1.5.jar' to classloader
INFO  - 2016-06-14 17:08:50.232; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/mysite/solr-4.10.4/contrib/extraction/lib/rome-0.9.jar' to classloader
INFO  - 2016-06-14 17:08:50.233; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/mysite/solr-4.10.4/contrib/extraction/lib/commons-compress-1.7.jar' to classloader
INFO  - 2016-06-14 17:08:50.235; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/mysite/solr-4.10.4/contrib/extraction/lib/dom4j-1.6.1.jar' to classloader
INFO  - 2016-06-14 17:08:50.238; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/mysite/solr-4.10.4/contrib/extraction/lib/jdom-1.0.jar' to classloader
INFO  - 2016-06-14 17:08:50.243; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/mysite/solr-4.10.4/dist/solr-cell-4.10.4.jar' to classloader
INFO  - 2016-06-14 17:08:50.250; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/mysite/solr-4.10.4/contrib/clustering/lib/hppc-0.5.2.jar' to classloader
INFO  - 2016-06-14 17:08:50.251; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/mysite/solr-4.10.4/contrib/clustering/lib/simple-xml-2.7.jar' to classloader
INFO  - 2016-06-14 17:08:50.252; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/mysite/solr-4.10.4/contrib/clustering/lib/carrot2-mini-3.9.0.jar' to classloader
INFO  - 2016-06-14 17:08:50.255; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/mysite/solr-4.10.4/contrib/clustering/lib/mahout-collections-1.0.jar' to classloader
INFO  - 2016-06-14 17:08:50.260; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/mysite/solr-4.10.4/contrib/clustering/lib/attributes-binder-1.2.1.jar' to classloader
INFO  - 2016-06-14 17:08:50.263; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/mysite/solr-4.10.4/contrib/clustering/lib/mahout-math-0.6.jar' to classloader
INFO  - 2016-06-14 17:08:50.264; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/mysite/solr-4.10.4/contrib/clustering/lib/jackson-mapper-asl-1.9.13.jar' to classloader
INFO  - 2016-06-14 17:08:50.269; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/mysite/solr-4.10.4/contrib/clustering/lib/jackson-core-asl-1.9.13.jar' to classloader
INFO  - 2016-06-14 17:08:50.271; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/mysite/solr-4.10.4/dist/solr-clustering-4.10.4.jar' to classloader
INFO  - 2016-06-14 17:08:50.273; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/mysite/solr-4.10.4/contrib/langid/lib/jsonic-1.2.7.jar' to classloader
INFO  - 2016-06-14 17:08:50.274; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/mysite/solr-4.10.4/contrib/langid/lib/langdetect-1.1-20120112.jar' to classloader
INFO  - 2016-06-14 17:08:50.276; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/mysite/solr-4.10.4/dist/solr-langid-4.10.4.jar' to classloader
INFO  - 2016-06-14 17:08:50.279; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/mysite/solr-4.10.4/contrib/velocity/lib/velocity-tools-2.0.jar' to classloader
INFO  - 2016-06-14 17:08:50.279; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/mysite/solr-4.10.4/contrib/velocity/lib/velocity-1.7.jar' to classloader
INFO  - 2016-06-14 17:08:50.280; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/mysite/solr-4.10.4/contrib/velocity/lib/commons-beanutils-1.8.3.jar' to classloader
INFO  - 2016-06-14 17:08:50.282; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/mysite/solr-4.10.4/contrib/velocity/lib/commons-collections-3.2.1.jar' to classloader
INFO  - 2016-06-14 17:08:50.295; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/mysite/solr-4.10.4/dist/solr-velocity-4.10.4.jar' to classloader
INFO  - 2016-06-14 17:08:52.099; org.apache.solr.update.SolrIndexConfig; IndexWriter infoStream solr logging is enabled
INFO  - 2016-06-14 17:08:52.135; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: 4.10.4
INFO  - 2016-06-14 17:08:52.673; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2016-06-14 17:08:52.708; org.apache.solr.schema.IndexSchema; Reading Solr Schema from /root/mysite/solr-4.10.4/example/solr/collection1/conf/schema.xml
INFO  - 2016-06-14 17:08:52.943; org.apache.solr.schema.IndexSchema; [collection1] Schema name=example
INFO  - 2016-06-14 17:08:55.486; org.apache.solr.schema.IndexSchema; unique key field: id
INFO  - 2016-06-14 17:08:55.568; org.apache.solr.rest.RestManager$Registry; Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedWordSetResource for path /schema/analysis/stopwords/english
INFO  - 2016-06-14 17:08:55.573; org.apache.solr.rest.RestManager$Registry; Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedSynonymFilterFactory$SynonymManager for path /schema/analysis/synonyms/english
INFO  - 2016-06-14 17:08:56.029; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2016-06-14 17:08:56.051; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2016-06-14 17:08:56.391; org.apache.solr.core.CoreContainer; Creating SolrCore 'collection1' using configuration from instancedir /root/mysite/solr-4.10.4/example/solr/collection1/
